x	y	z	w	pm_concentration
-1.61782	4.45765	-0.0130152	0.999915	26
-1.57894	4.45655	-0.0158074	0.999875	26
-1.54271	4.45539	-0.0151966	0.999885	26
-1.50836	4.45437	-0.0138878	0.999904	26
-1.47804	4.4536	-0.0104846	0.999945	26
-1.44986	4.45305	-0.00865211	0.999963	26
-1.42278	4.4527	-0.00315443	0.999995	26
-1.40069	4.45264	0.00120889	0.999999	26
-1.38103	4.45378	0.00294895	0.999996	26
-1.35899	4.45622	0.00563899	0.999984	26
-1.3401	4.45645	0.00738428	0.999973	26
-1.32577	4.45667	0.00747155	0.999972	26
-1.31272	4.45685	0.00633711	0.99998	26
-1.30057	4.45699	0.00572625	0.999984	26
-1.28876	4.45715	0.00808239	0.999967	26
-1.27703	4.45733	0.0065989	0.999978	26
-1.26624	4.45748	0.00799513	0.999968	26
-1.25434	4.45998	0.00822953	0.999966	26
-1.24015	4.46124	0.00294677	0.999996	26
-1.2277	4.46132	0.00303404	0.999995	26
-1.21397	4.46139	0.000852378	1	26
-1.20416	4.46139	-0.00176561	0.999998	26
-1.19085	4.46133	-0.00316187	0.999995	26
-1.17712	4.46123	-0.00464539	0.999989	26
-1.14864	4.46085	-0.00682702	0.999977	26
-1.1257	4.46056	-0.00630343	0.99998	26
-1.10382	4.46024	-0.0105793	0.999944	26
-1.08025	4.45956	-0.017909	0.99984	26
-1.05596	4.45868	-0.0180835	0.999836	26
-1.03707	4.45805	-0.0150296	0.999887	26
-1.02015	4.45756	-0.0134589	0.999909	26
-1.008	4.45724	-0.0126736	0.99992	26
-0.99214	4.45687	-0.00874682	0.999962	26
-0.982119	4.45674	-0.00281281	0.999996	26
-0.967876	4.45667	-0.00202741	0.999998	26
-0.957648	4.45799	0.00207827	0.999998	26
-0.94853	4.45995	0.00363361	0.999993	26
-0.937314	4.46004	0.00450627	0.99999	26
-0.925886	4.46016	0.00773506	0.99997	26
-0.917487	4.46037	0.0202129	0.999796	26
-0.91161	4.46067	0.0357401	0.999361	26
-0.907572	4.461	0.0483824	0.998829	26
-0.907614	4.46099	0.0504743	0.998725	26
-0.907614	4.46099	0.0508229	0.998708	26
-0.907614	4.46099	0.0513458	0.998681	26
-0.907657	4.46099	0.0523044	0.998631	26
-0.907699	4.46098	0.0518687	0.998654	26
-0.907699	4.46098	0.0519558	0.998649	26
-0.907699	4.46098	0.0518687	0.998654	26
-0.907699	4.46098	0.0524787	0.998622	26
-0.907699	4.46098	0.0525659	0.998617	26
-0.907699	4.46098	0.0525659	0.998617	26
-0.907699	4.46098	0.0521301	0.99864	26
-0.907699	4.46098	0.0529144	0.998599	26
-0.907699	4.46098	0.0528273	0.998604	26
-0.907699	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0528273	0.998604	26
-0.907741	4.46098	0.0528273	0.998604	26
-0.907741	4.46098	0.0527402	0.998608	26
-0.907741	4.46098	0.0525659	0.998617	26
-0.907741	4.46098	0.053263	0.998581	26
-0.907741	4.46098	0.0531759	0.998585	26
-0.907741	4.46098	0.0531759	0.998585	26
-0.907741	4.46098	0.0531759	0.998585	26
-0.907741	4.46098	0.0531759	0.998585	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0530016	0.998594	26
-0.907741	4.46098	0.0533502	0.998576	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0534373	0.998571	26
-0.907741	4.46098	0.0534373	0.998571	26
-0.907741	4.46098	0.0534373	0.998571	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0535244	0.998567	26
-0.907741	4.46098	0.0536116	0.998562	26
-0.902568	4.46154	0.0536987	0.998557	26
-0.88764	4.46312	0.0502999	0.998734	26
-0.873935	4.46449	0.0489054	0.998803	26
-0.857632	4.46604	0.0439366	0.999034	26
-0.831954	4.46806	0.0337341	0.999431	26
-0.804888	4.46981	0.0297219	0.999558	26
-0.770569	4.47174	0.0264071	0.999651	26
-0.732837	4.47373	0.0259709	0.999663	26
-0.69195	4.47582	0.0244879	0.9997	26
-0.6502	4.47772	0.0216088	0.999767	26
-0.608871	4.47948	0.0203874	0.999792	26
-0.569923	4.48101	0.0188169	0.999823	26
-0.534719	4.48226	0.0158503	0.999874	26
-0.500744	4.48321	0.00982938	0.999952	26
-0.466672	4.47761	-0.000176076	1	26
-0.436406	4.47619	-0.00733787	0.999973	26
-0.40784	4.47557	-0.0155404	0.999879	26
-0.381929	4.47463	-0.0228694	0.999738	26
-0.360802	4.47359	-0.0261845	0.999657	26
-0.34211	4.47254	-0.0318544	0.999493	26
-0.327473	4.47154	-0.0367385	0.999325	26
-0.310847	4.47028	-0.0394418	0.999222	26
-0.295877	4.4757	-0.0429851	0.999076	26
-0.281775	4.477	-0.048025	0.998846	26
-0.269633	4.47585	-0.0467175	0.998908	26
-0.257067	4.47465	-0.0482865	0.998834	26
-0.244717	4.47343	-0.0513371	0.998681	26
-0.230978	4.47195	-0.0568268	0.998384	26
-0.215133	4.47013	-0.0568268	0.998384	26
-0.200601	4.46847	-0.0575238	0.998344	26
-0.187935	4.467	-0.0592661	0.998242	26
-0.172697	4.46512	-0.0638825	0.997957	26
-0.150197	4.46221	-0.0639696	0.997952	26
-0.123161	4.4588	-0.0602243	0.998185	26
-0.0961452	4.45556	-0.0586563	0.998278	26
-0.0703874	4.44932	-0.0575822	0.998341	26
-0.0487285	4.44691	-0.0506111	0.998718	26
-0.0287414	4.44492	-0.048345	0.998831	26
-0.0120954	4.44338	-0.0432888	0.999063	26
0.00363159	4.4421	-0.0336095	0.999435	26
0.0162784	4.44141	-0.0184304	0.99983	26
0.0290216	4.44096	-0.0168598	0.999858	26
0.0407011	4.4406	-0.0123225	0.999924	26
0.0535783	4.4404	0.000854454	1	26
0.0677787	4.44053	0.0107154	0.999943	26
0.0774965	4.44084	0.0276417	0.999618	26
0.0821344	4.44115	0.0460422	0.998939	26
0.0876472	4.44174	0.0623369	0.998055	26
0.0904784	4.44212	0.0755697	0.997141	26
0.0914793	4.44411	0.0786921	0.996899	26
0.0919177	4.44466	0.0772361	0.997013	26
0.0925079	4.44475	0.0736683	0.997283	26
0.0924231	4.44474	0.064266	0.997933	26
0.092	4.44469	0.0609564	0.99814	26
0.0913649	4.44461	0.0572976	0.998357	26
0.0912377	4.44459	0.0487576	0.998811	26
0.0914501	4.44461	0.0395164	0.999219	26
0.091918	4.44465	0.0305335	0.999534	26
0.0924032	4.45037	0.0260524	0.999661	26
0.0924032	4.45037	0.027012	0.999635	26
0.0924884	4.45037	0.0267503	0.999642	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.027012	0.999635	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0268376	0.99964	26
0.0924884	4.45037	0.0269248	0.999637	26
0.0979392	4.45067	0.0269248	0.999637	26
0.114888	4.45158	0.0263141	0.999654	26
0.139077	4.45286	0.0257035	0.99967	26
0.167997	4.45431	0.0241332	0.999709	26
0.205442	4.45606	0.0217776	0.999763	26
0.244643	4.45767	0.0187239	0.999825	26
0.28483	4.45919	0.0189857	0.99982	26
0.325486	4.46071	0.0178514	0.999841	26
0.358219	4.46183	0.0160191	0.999872	26
0.405065	4.46325	0.0140994	0.999901	26
0.441172	4.46427	0.0136631	0.999907	26
0.477325	4.46517	0.010609	0.999944	26
0.512884	4.46589	0.0097364	0.999953	26
0.54546	4.4665	0.00834019	0.999965	26
0.575053	4.46694	0.005635	0.999984	26
0.602686	4.46722	0.00458782	0.999989	26
0.623582	4.46738	0.0033661	0.999994	26
0.643071	4.4675	0.00162077	0.999999	26
0.661918	4.45979	-0.00412291	0.999992	26
0.678065	4.45674	-0.0045378	0.99999	26
0.691711	4.45661	-0.00558498	0.999984	26
0.704334	4.45644	-0.00829017	0.999966	26
0.715121	4.45626	-0.00820291	0.999966	26
0.725696	4.45608	-0.00916281	0.999958	26
0.735247	4.4559	-0.00872649	0.999962	26
0.746078	4.45573	-0.0075048	0.999972	26
0.760234	4.4555	-0.00916281	0.999958	26
0.772296	4.45668	-0.0115615	0.999933	26
0.77604	4.46541	-0.0174777	0.999847	26
0.787332	4.46496	-0.0234106	0.999726	26
0.797426	4.46444	-0.0291681	0.999575	26
0.808705	4.46373	-0.0326571	0.999467	26
0.828281	4.46247	-0.0324827	0.999472	26
0.851731	4.46096	-0.0312616	0.999511	26
0.874589	4.45955	-0.029866	0.999554	26
0.897923	4.45827	-0.0219274	0.99976	26
0.921065	4.45745	-0.0124168	0.999923	26
0.941871	4.457	-0.0092754	0.999957	26
0.959012	4.4567	-0.00796645	0.999968	26
0.974619	4.45647	-0.0058721	0.999983	26
0.987071	4.45641	0.00512342	0.999987	26
0.999523	4.4566	0.0112319	0.999937	26
1.01137	4.45694	0.0176889	0.999844	26
1.02292	4.45737	0.0208299	0.999783	26
1.0343	4.45789	0.0266751	0.999644	26
1.04469	4.45849	0.0299899	0.99955	26
1.05762	4.45259	0.0354175	0.999373	26
1.06318	4.45306	0.0539864	0.998542	26
1.06813	4.45369	0.0736681	0.997283	26
1.07293	4.45446	0.0890629	0.996026	26
1.078	4.45545	0.106953	0.994264	26
1.08265	4.45653	0.127146	0.991884	26
1.08598	4.45746	0.147718	0.98903	26
1.08736	4.45789	0.153326	0.988176	26
1.08826	4.45817	0.152636	0.988283	26
1.0883	4.45819	0.146164	0.98926	26
1.0885	4.45825	0.138044	0.990426	26
1.08879	4.45833	0.129915	0.991525	26
1.08916	4.45842	0.125674	0.992072	26
1.09067	4.46193	0.114011	0.993479	26
1.09156	4.46373	0.105228	0.994448	26
1.09202	4.46382	0.0973276	0.995252	26
1.09253	4.46392	0.0874218	0.996171	26
1.09269	4.46394	0.075245	0.997165	26
1.09231	4.46389	0.0690653	0.997612	26
1.09177	4.46381	0.0658437	0.99783	26
1.09236	4.46389	0.056001	0.998431	26
1.09299	4.46395	0.0439734	0.999033	26
1.09308	4.46396	0.0315904	0.999501	26
1.09321	4.46397	0.0226926	0.999742	26
1.09325	4.46397	0.0195517	0.999809	26
1.09325	4.46397	0.0186792	0.999826	26
1.09325	4.46397	0.0188537	0.999822	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09325	4.46397	0.0187664	0.999824	26
1.09329	4.46397	0.0186792	0.999826	26
1.0938	4.46399	0.0175449	0.999846	26
1.09444	4.46401	0.0102152	0.999948	26
1.0947	4.46401	0.00367042	0.999993	26
1.09474	4.46401	-0.00531799	0.999986	26
1.09478	4.46401	-0.0203264	0.999793	26
