concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
55	41	38	64	49	89
98	42	14	68	50	99
50	48	36	71	49	89
56	35	66	58	60	96
69	44	37	67	44	87
38	55	92	56	45	86
38	55	92	56	45	86
58	46	41	64	46	90
6	72	18	64	79	93
54	45	39	61	48	92
71	65	50	64	24	91
58	46	43	53	52	88
96	0	60	48	35	87
55	47	44	70	46	89
60	45	43	95	64	96
66	47	46	65	46	91
41	47	11	66	28	81
54	45	42	64	46	87
58	52	32	69	0	105
63	47	40	67	52	90
48	34	34	67	63	82
53	47	42	67	49	87
65	56	36	70	54	92
57	49	49	69	52	94
39	13	136	66	65	102
52	48	38	68	45	89
64	51	0	71	50	86
64	52	56	65	59	89
58	47	27	88	1	88
54	50	42	66	44	92
66	74	52	68	56	90
55	55	42	68	48	87
12	59	56	72	59	82
59	52	53	68	62	78
66	70	102	63	92	82
63	53	64	72	100	107
62	48	60	72	45	83
19	57	48	61	68	80
53	44	38	65	47	86
64	53	0	58	54	85
56	46	59	70	48	84
63	46	30	49	49	82
55	46	47	63	44	87
55	48	57	74	48	88
57	51	63	68	47	83
76	42	0	68	57	84
58	50	45	65	45	86
72	78	41	84	87	112
65	50	11	64	36	93
66	47	35	58	14	85
53	47	43	68	44	89
56	52	46	58	49	91
56	52	46	58	49	91
60	49	52	74	52	96
56	48	59	66	51	92
34	52	92	65	45	78
102	43	11	59	57	96
70	53	15	65	48	87
65	48	43	68	51	93
47	41	9	65	56	100
53	47	44	65	44	88
11	47	16	89	89	86
63	52	47	66	47	87
54	75	27	66	60	74
59	48	40	64	49	85
58	44	68	68	49	88
64	55	52	78	52	85
71	46	45	57	53	86
53	47	43	64	47	84
56	49	41	67	33	86
61	50	55	70	31	80
44	24	0	60	51	97
53	46	47	63	46	84
54	48	45	73	45	83
76	51	22	77	57	86
78	49	55	66	47	81
78	52	38	57	55	94
56	47	47	67	50	81
67	47	28	85	39	90
63	48	73	57	19	86
63	47	45	57	52	79
52	45	36	66	47	81
55	46	44	67	49	81
58	50	18	106	55	85
60	45	47	69	50	88
21	48	36	59	46	96
52	43	45	66	46	81
57	1	0	68	51	84
115	54	70	70	54	107
64	53	28	72	46	83
81	44	3	64	63	81
56	44	38	66	47	83
57	46	30	67	53	90
64	53	58	55	19	94
57	48	46	68	45	86
56	57	17	62	57	82
60	45	47	61	46	83
60	45	47	61	46	83
60	48	47	66	47	85
63	56	77	69	55	88
62	52	44	65	48	88
59	44	36	68	41	84
54	47	47	67	47	86
59	44	49	60	46	85
0	54	0	66	44	85
61	48	48	72	54	88
0	55	83	66	0	95
58	45	43	70	45	92
51	45	51	88	89	108
108	45	48	63	61	95
47	52	65	77	58	103
58	47	58	74	46	96
67	31	63	70	55	86
57	35	53	69	72	85
59	40	1	73	52	91
61	53	62	73	51	98
59	48	52	72	49	93
62	49	32	78	60	94
59	47	39	71	46	97
59	51	46	72	47	96
63	60	171	75	60	96
60	50	47	71	48	93
48	78	4	49	30	73
