concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
256	23	38	29	78	71
212	23	47	27	75	82
279	21	0	0	117	85
300	22	18	24	68	99
205	21	27	25	71	104
194	24	20	26	72	109
185	26	23	58	85	117
173	57	31	23	80	104
150	29	28	25	82	118
175	22	31	26	84	121
213	23	25	25	75	120
223	22	21	25	71	114
217	20	30	44	108	80
231	22	96	32	51	89
260	21	26	27	53	101
271	22	18	24	62	99
282	24	32	25	59	110
282	24	32	25	59	110
320	21	35	26	54	116
279	21	44	22	62	111
214	33	18	24	54	126
235	28	35	32	54	113
225	55	0	1	67	119
175	43	0	18	75	117
162	24	18	25	58	121
237	9	17	26	61	123
203	15	56	35	49	127
255	18	35	17	55	124
266	25	25	23	50	127
284	23	22	9	51	132
280	6	40	21	22	125
270	24	31	28	38	122
260	12	43	16	33	120
247	11	79	8	41	129
257	24	29	30	51	118
282	29	25	22	54	121
271	39	0	49	82	108
272	23	18	22	62	126
245	25	31	22	63	135
233	24	0	24	55	146
225	28	26	27	57	146
214	26	23	19	55	156
212	29	32	37	61	167
217	23	20	22	51	163
233	21	20	23	48	165
241	26	29	25	52	164
236	27	30	23	47	162
227	28	53	23	57	170
193	23	33	27	50	162
165	51	0	27	38	122
123	45	0	34	49	138
113	22	23	13	51	133
41	1	70	17	31	127
146	24	15	24	50	125
141	56	37	27	52	126
150	24	0	15	1	118
92	37	0	16	28	114
114	24	21	32	41	124
116	62	35	10	50	114
116	62	35	10	50	114
124	28	30	22	41	122
137	28	45	23	41	125
101	29	37	18	44	123
98	15	78	31	62	118
189	29	91	24	61	127
223	24	28	20	41	129
259	27	31	29	43	131
247	0	126	49	4	130
254	31	25	26	41	130
243	28	31	23	38	124
243	37	51	30	43	124
215	24	27	16	38	116
201	24	19	25	39	115
191	23	22	34	36	108
208	24	25	23	26	104
173	30	28	32	42	95
164	25	33	30	35	108
185	28	53	48	77	111
168	20	84	24	31	116
168	29	13	27	26	105
170	27	35	25	40	109
160	0	31	38	24	109
138	31	43	31	31	104
142	31	23	23	64	100
146	44	11	20	62	94
171	12	24	36	56	95
159	27	30	27	55	90
174	42	51	7	56	91
184	69	105	25	47	88
189	20	104	60	47	82
237	18	76	27	10	64
243	23	23	27	47	92
245	23	0	38	85	98
231	31	35	28	51	97
238	25	31	33	47	77
234	12	35	27	44	80
251	24	22	33	45	82
244	24	24	29	46	87
261	13	51	14	49	85
313	25	27	28	53	86
341	24	18	24	51	80
341	24	18	24	51	80
304	25	15	30	51	76
294	24	23	28	52	71
283	22	0	0	91	63
286	25	24	28	61	61
293	22	26	55	42	45
240	14	67	35	42	70
256	26	29	27	54	65
270	32	39	49	59	77
243	34	30	30	59	71
248	27	23	28	54	67
217	36	0	31	33	85
206	50	9	28	48	64
184	0	23	21	32	40
167	27	30	16	39	68
149	29	134	26	68	80
152	27	27	28	35	77
136	4	5	31	34	102
98	32	60	32	55	89
153	29	24	24	32	99
166	11	6	28	79	103
190	13	0	44	21	115
221	29	26	26	38	93
243	28	25	23	38	91
216	31	31	27	46	87
226	32	13	19	68	88
215	27	16	25	67	79
195	26	23	27	75	78
189	27	27	22	85	69
199	31	46	30	86	78
216	32	4	19	78	80
230	33	84	0	75	67
169	12	38	15	57	80
216	16	26	44	74	80
248	27	23	24	70	71
208	10	81	45	116	89
246	45	20	36	61	67
254	34	47	28	89	73
272	25	39	25	64	70
251	30	26	24	65	75
252	52	58	20	59	68
256	11	77	18	69	89
229	24	20	29	72	84
251	62	153	0	72	91
251	62	153	0	72	91
253	28	0	18	70	102
218	27	27	24	74	92
232	24	44	16	73	98
236	26	27	18	77	100
236	31	68	25	72	104
214	28	79	26	66	97
205	23	20	24	66	96
215	23	22	25	60	96
182	12	10	22	43	109
220	3	99	15	0	100
193	26	15	47	62	105
177	30	24	27	56	103
200	26	26	26	49	97
181	1	49	27	47	100
203	25	25	22	48	101
209	24	22	26	47	105
228	26	20	25	52	108
250	28	29	28	57	109
278	26	0	24	53	113
249	56	0	40	7	115
266	25	29	24	58	118
259	29	43	29	61	119
263	24	28	27	67	122
269	12	0	29	63	137
271	25	70	17	76	119
246	0	19	20	86	105
242	28	35	23	66	104
237	26	110	30	69	86
288	25	57	33	70	110
288	29	81	33	98	92
254	27	36	27	75	92
240	22	32	25	78	92
193	24	94	20	64	92
180	23	19	25	81	101
173	22	28	24	81	105
178	0	36	23	69	88
182	13	40	33	95	115
280	31	39	27	95	118
288	27	91	27	100	129
269	13	47	28	97	136
235	24	40	34	91	138
235	24	40	34	91	138
245	23	21	23	102	134
224	22	26	20	98	136
194	23	20	25	97	135
204	24	26	48	75	147
167	26	30	25	96	133
178	63	41	59	98	131
175	28	24	23	94	113
215	51	0	25	78	82
171	24	24	35	69	107
179	23	34	26	89	90
225	24	0	26	91	83
236	31	36	26	81	87
254	16	23	22	78	85
251	22	26	24	77	90
243	24	29	24	72	89
216	23	38	25	81	91
209	25	27	28	73	92
187	25	40	25	75	97
174	21	25	24	75	99
180	23	26	23	80	101
194	26	25	27	84	104
220	34	44	28	90	111
228	26	32	29	87	112
245	25	31	28	78	115
252	23	27	28	66	127
286	27	6	33	55	121
265	30	22	28	59	131
255	36	14	30	22	154
246	39	76	26	62	153
245	40	29	29	115	159
257	33	35	26	61	166
214	40	0	23	47	168
279	28	77	26	75	172
243	31	29	26	62	176
220	35	29	26	70	177
241	17	103	26	14	173
221	34	33	29	73	168
190	30	27	16	63	162
187	30	25	23	67	154
204	38	28	25	77	150
199	51	83	23	46	131
213	30	22	26	51	126
213	30	22	26	51	126
254	72	64	25	49	124
196	37	9	24	80	125
194	27	58	51	43	120
244	29	40	32	52	112
279	32	36	25	60	110
324	21	0	23	64	109
263	27	22	28	65	106
249	26	25	28	70	108
206	24	30	26	71	111
168	55	0	0	67	130
181	32	48	28	74	111
181	27	39	32	79	107
163	26	27	27	80	111
156	29	30	24	88	110
230	27	114	7	84	112
296	11	20	22	69	113
289	30	19	18	82	104
290	26	30	22	82	118
292	26	28	26	80	125
307	28	28	27	75	130
285	29	32	33	77	136
262	35	57	26	74	149
252	14	39	24	80	170
249	27	41	20	79	149
251	29	36	27	78	143
256	27	42	26	79	134
273	24	30	25	78	130
310	40	61	10	90	122
290	45	0	25	106	120
283	29	0	20	89	108
282	27	29	27	79	106
245	30	21	41	73	102
270	0	38	22	28	78
268	25	25	27	60	96
243	30	26	27	59	99
229	60	73	16	50	100
165	26	17	20	63	106
152	25	22	24	53	111
154	26	21	24	49	118
166	31	34	24	84	127
164	25	10	28	58	115
164	25	10	28	58	115
196	27	31	32	60	102
209	29	20	28	54	102
211	61	0	27	57	93
182	24	34	34	43	114
188	26	31	27	72	104
157	28	0	51	131	95
220	20	51	34	95	103
222	28	27	22	85	106
179	28	20	53	79	100
214	17	11	24	76	116
211	26	27	28	68	113
191	27	31	29	67	118
150	36	177	25	111	119
212	29	43	25	88	123
201	37	34	30	70	127
189	29	31	28	65	123
199	32	36	27	95	131
225	22	0	33	79	105
231	27	30	26	86	113
235	21	118	22	29	116
227	34	37	31	98	115
228	29	23	27	85	119
197	30	24	27	83	118
179	46	98	15	114	110
221	2	83	5	75	114
192	30	29	21	65	97
161	38	116	8	51	93
150	31	48	26	64	77
188	38	153	40	41	85
97	0	0	38	87	81
165	28	25	25	42	79
166	32	51	25	47	83
178	30	36	23	52	81
175	30	27	28	54	75
161	27	26	25	56	75
149	29	25	25	57	71
121	66	0	21	60	72
136	29	31	27	59	71
151	22	109	17	60	72
125	24	67	22	70	81
145	30	32	20	58	71
145	30	32	20	58	71
112	14	20	13	95	67
140	30	27	27	63	81
167	29	16	27	60	72
160	23	43	18	68	64
184	29	25	27	60	77
136	43	75	36	89	46
173	23	29	31	85	70
