concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
229	65	32	27	46	50
170	73	38	18	43	48
180	63	0	0	85	50
241	66	33	25	46	52
221	87	23	24	36	53
282	48	38	13	85	76
255	61	57	3	42	36
246	60	3	22	40	45
219	57	28	25	41	54
168	46	38	31	16	55
147	62	47	33	40	55
121	63	32	31	43	57
123	55	18	23	43	53
143	56	23	25	41	55
163	82	0	0	0	77
194	61	98	30	49	66
198	54	48	45	42	58
199	55	12	28	39	59
141	12	118	10	47	67
136	54	29	29	43	57
139	59	41	33	43	61
141	46	24	28	65	63
147	26	23	35	24	64
147	26	23	35	24	64
105	57	15	27	56	54
92	61	24	28	41	58
90	56	22	26	66	57
91	27	16	22	44	32
83	59	17	20	59	56
95	81	23	27	63	33
112	64	35	22	61	61
89	27	46	29	101	58
114	48	0	21	53	53
131	54	14	28	51	57
159	63	50	31	28	60
194	59	29	25	54	63
167	58	34	24	56	56
131	54	15	27	57	53
127	54	18	25	51	51
61	41	0	34	74	51
117	56	19	26	52	54
158	72	123	43	41	44
157	63	0	21	61	50
135	77	16	29	54	57
118	71	32	17	71	53
195	73	26	28	60	58
175	69	0	17	66	27
200	63	28	30	53	63
143	61	19	26	55	55
137	62	45	28	60	54
118	58	40	27	75	59
105	56	39	23	64	58
120	55	74	18	50	57
116	56	21	28	61	59
135	53	32	28	60	60
142	59	63	27	58	64
106	57	22	24	51	61
140	56	0	34	60	63
157	60	18	26	38	62
148	63	30	24	40	62
160	67	54	30	42	43
109	68	23	26	40	65
103	62	111	24	23	68
90	76	15	49	77	68
101	66	23	27	40	65
131	66	52	42	0	93
132	68	42	54	44	57
132	68	42	54	44	57
152	50	0	13	85	59
121	45	26	28	48	80
107	55	20	26	46	66
106	58	26	14	46	70
188	40	54	30	54	69
141	54	30	24	41	69
126	52	4	26	27	67
125	48	16	27	39	68
128	68	27	37	18	69
127	48	22	29	39	66
142	54	29	21	38	65
145	69	38	23	18	56
188	55	17	27	35	64
245	87	0	24	0	70
241	61	38	34	39	73
165	93	150	23	68	87
167	50	33	32	15	70
156	60	15	28	30	69
147	56	47	48	82	59
130	58	44	32	40	69
126	55	26	37	28	65
115	43	0	29	50	54
133	56	17	29	25	62
169	66	24	33	31	61
119	63	35	32	33	58
111	62	22	28	31	59
240	56	122	27	52	65
307	63	17	29	29	61
356	61	23	29	32	67
278	75	26	18	51	66
