x	y	z	w	concentration
-1.13689	2.97178	0.895033	0.446001	25
-1.13689	2.97178	0.895033	0.446001	25
-1.13689	2.97178	0.895033	0.446001	25
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.13689	2.97178	0.895033	0.446001	24
-1.14002	2.97593	0.894994	0.446079	24
-1.1502	2.98957	0.890512	0.45496	24
-1.16372	3.00842	0.888798	0.458299	24
-1.17986	3.03122	0.887233	0.461321	24
-1.20053	3.06131	0.880043	0.474893	24
-1.22028	3.09221	0.873029	0.487668	24
-1.24136	3.12686	0.86969	0.493599	24
-1.26191	3.16192	0.864385	0.50283	24
-1.28149	3.19724	0.856831	0.515597	24
-1.2999	3.23285	0.850927	0.525284	24
-1.31596	3.26544	0.846775	0.531951	24
-1.33148	3.29806	0.843603	0.536967	24
-1.34898	3.33577	0.841771	0.539835	24
-1.3662	3.37343	0.840686	0.541523	24
-1.3832	3.40944	0.837846	0.545906	24
-1.40066	3.44425	0.838087	0.545537	24
-1.41411	3.47468	0.837229	0.546853	23
-1.4309	3.51314	0.835986	0.548751	23
-1.45104	3.55986	0.835459	0.549553	23
-1.46445	3.59095	0.835507	0.54948	23
-1.48102	3.62936	0.835507	0.54948	23
-1.49768	3.66783	0.836369	0.548167	23
-1.51271	3.708	0.836318	0.548244	23
-1.52966	3.74709	0.837152	0.54697	23
-1.54683	3.78604	0.838248	0.545289	23
-1.56418	3.82518	0.837963	0.545728	23
-1.58	3.86099	0.838105	0.545508	24
-1.59562	3.8961	0.838866	0.544337	24
-1.61126	3.93119	0.838771	0.544484	24
-1.62864	3.96376	0.840358	0.542032	24
-1.64246	3.99425	0.840594	0.541665	24
-1.65465	4.02103	0.841727	0.539904	24
-1.6652	4.04388	0.843653	0.536888	24
-1.67467	4.06412	0.843981	0.536373	24
-1.68265	4.08105	0.844682	0.535268	24
-1.68903	4.09591	0.844529	0.535509	24
-1.69481	4.11019	0.846338	0.532646	25
-1.70239	4.12594	0.846896	0.531759	25
-1.70896	4.13949	0.849023	0.528355	25
-1.71536	4.1524	0.850587	0.525834	25
-1.72144	4.16453	0.851366	0.524571	25
-1.72731	4.17618	0.851549	0.524274	25
-1.73296	4.18733	0.853283	0.521447	25
-1.73949	4.19994	0.85555	0.517719	25
-1.75267	4.21559	0.85557	0.517687	25
-1.76942	4.23352	0.855027	0.518583	25
-1.78375	4.26106	0.854891	0.518807	25
-1.79636	4.28522	0.85575	0.517389	25
-1.8078	4.3071	0.854529	0.519404	25
-1.81816	4.32714	0.853848	0.520522	25
-1.8259	4.34225	0.851523	0.524317	25
-1.83291	4.3562	0.849918	0.526915	25
-1.83872	4.36816	0.843042	0.537848	25
-1.84414	4.38022	0.834057	0.551679	25
-1.84897	4.39188	0.827891	0.560889	25
-1.85279	4.40175	0.819829	0.572608	25
-1.85543	4.40914	0.813535	0.581516	26
-1.85758	4.41557	0.80637	0.591412	26
-1.86495	4.41916	0.793044	0.609164	26
-1.87106	4.42303	0.777194	0.629261	26
-1.87203	4.42797	0.763958	0.645266	26
-1.8727	4.43222	0.750969	0.660338	26
-1.87291	4.43404	0.739506	0.67315	26
-1.87301	4.43523	0.737211	0.675663	26
-1.87317	4.43702	0.733307	0.679898	26
-1.87329	4.43885	0.724645	0.689122	26
-1.87335	4.44072	0.711344	0.702844	27
-1.87334	4.44251	0.694462	0.719529	27
-1.88079	4.44028	0.674769	0.738029	27
-1.8816	4.4413	0.646615	0.762817	27
-1.8813	4.4428	0.614999	0.788528	27
-1.88081	4.44448	0.579379	0.815058	27
-1.88034	4.44571	0.541955	0.840407	27
-1.87974	4.44689	0.497759	0.867315	27
-1.87894	4.44815	0.453397	0.891309	27
-1.88311	4.44748	0.41174	0.911301	27
-1.8876	4.44626	0.370827	0.928702	28
-1.88611	4.44759	0.340816	0.94013	28
-1.88221	4.45064	0.310538	0.950561	28
-1.87985	4.45199	0.290847	0.956769	28
-1.87629	4.45381	0.271199	0.962523	28
-1.87064	4.45717	0.248109	0.968732	28
-1.87294	4.45569	0.229163	0.973388	28
-1.87599	4.45367	0.216932	0.976187	28
-1.8783	4.45348	0.198025	0.980197	28
-1.89196	4.45062	0.177103	0.984192	28
-1.89088	4.45101	0.167992	0.985788	27
-1.88871	4.4502	0.153184	0.988198	27
-1.88559	4.44755	0.13013	0.991497	27
-1.88389	4.44797	0.114106	0.993469	27
-1.88227	4.44833	0.100832	0.994903	27
-1.88072	4.44863	0.0846707	0.996409	27
-1.88573	4.44735	0.0651032	0.997879	27
-1.88525	4.44722	0.0464639	0.99892	27
-1.88372	4.44734	0.0295466	0.999563	27
-1.88265	4.44739	0.0107884	0.999942	27
-1.88235	4.44739	-0.000206964	1	26
-1.88235	4.44739	-0.000992362	1	26
-1.8756	4.4426	-0.00188178	0.999998	26
-1.8756	4.4426	-0.00170725	0.999999	26
-1.8756	4.4426	-0.00170725	0.999999	26
-1.8756	4.4426	-0.00170725	0.999999	26
-1.8756	4.4426	-0.00170725	0.999999	26
-1.8756	4.4426	-0.00170725	0.999999	26
-1.87617	4.4394	-0.00321417	0.999995	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	27
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	26
-1.87624	4.43899	-0.00340878	0.999994	25
-1.87624	4.43899	-0.00340878	0.999994	25
-1.87624	4.43899	-0.00340878	0.999994	25
-1.87624	4.43899	-0.00340878	0.999994	25
-1.87624	4.43899	-0.00340878	0.999994	25
-1.87624	4.43899	-0.00340878	0.999994	25
-1.87624	4.43899	-0.00340878	0.999994	25
