counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration
0	-1.86973	4.46468	0	0	1	1671266609.730588683	27.8875	71.275	5	91.4437	14.2263
1	-0.913697	4.45059	0.115238	0.057587	0.99834	1671266622.730581672	28.825	75.15	6	119.412	14.8431
2	0.0851306	4.44471	0	0	1	1671266636.730552572	26.175	67.85	5	90.5875	13.3684
3	1.10738	4.45834	0	0	1	1671266652.030966965	24.0625	60.625	2	37.0312	12.1422
4	1.11217	3.46048	-1.5708	-0.707107	0.707107	1671266669.930547597	25.8	65.1	2	39.9	13.0123
5	0.130652	3.46254	-3.14159	-1	6.12323e-17	1671266686.330595144	24.6875	62.375	5	77.3438	12.6002
6	-0.848584	3.46661	-3.14159	-1	6.12323e-17	1671266699.330597172	28.1875	71.375	5	89.0938	14.2881
7	-1.87683	3.46481	-3.14159	-1	6.12323e-17	1671266713.130569767	30.225	77.45	7	134.113	15.4909
8	-1.90057	2.47326	-1.5708	-0.707107	0.707107	1671266731.530647163	35.3625	89.225	3	73.1813	17.9144
9	-0.894589	2.44605	0	0	1	1671266752.230725347	32.9375	83.375	5	103.969	16.8176
10	0.106367	2.44756	0	0	1	1671266766.230575617	26.6625	67.325	3	55.3312	13.5061
11	1.13656	2.45029	0	0	1	1671266779.630589788	26.725	67.45	1	27.3625	13.4208
12	1.12181	1.47667	-1.5708	-0.707107	0.707107	1671266795.630592132	30.1125	76.725	4	81.0563	15.3552
13	0.132011	1.47209	-3.14159	-1	6.12323e-17	1671266811.430607176	34.4625	87.425	2	54.2313	17.4001
14	-0.842816	1.4681	-3.14159	-1	6.12323e-17	1671266827.130573981	31.6625	80.325	4	83.8313	16.0785
15	-1.84799	1.45931	-3.14159	-1	6.12323e-17	1671266841.930562199	27.65	69.8	4	71.825	14.0493
16	-1.89282	0.478052	-1.5708	-0.707107	0.707107	1671266858.530542597	26.9125	67.825	2	41.4562	13.5637
17	-0.912707	0.439709	0	0	1	1671266879.930581838	33.1125	83.225	2	50.5563	16.7147
18	0.0915606	0.450478	0	0	1	1671266892.530618664	31.5625	79.625	2	48.7812	15.9293
19	1.11299	0.472393	0	0	1	1671266907.030552690	31.575	79.65	3	65.2875	15.9883
20	1.12418	-0.488584	-1.5708	-0.707107	0.707107	1671266921.630535721	31.725	79.95	2	48.8625	16.0007
21	0.153128	-0.525339	-3.14159	-1	6.12323e-17	1671266939.030550955	35.3	90.6	5	117.65	17.9528
22	-0.849731	-0.530515	-3.14159	-1	6.12323e-17	1671266952.030592028	36.5625	92.625	3	76.7812	18.5442
23	-1.87956	-0.541251	-3.14159	-1	6.12323e-17	1671266966.430566614	35.05	88.6	1	36.025	17.602
24	-1.89027	-1.55162	-1.5708	-0.707107	0.707107	1671266984.330545671	31.7125	79.925	4	81.8562	16.0999
25	-0.867657	-1.53311	0	0	1	1671267002.130558610	184.25	509	10	1497.12	103.358
26	0.0797419	-1.53669	0	0	1	1671267014.930574933	107.537	274.075	5	348.769	55.6566
27	1.07841	-1.53993	0	0	1	1671267029.930556175	80.9125	205.325	5	257.956	41.3922
28	1.1129	-2.51744	-1.5708	-0.707107	0.707107	1671267052.130634777	93.4125	235.825	3	193.706	47.1922
29	0.147237	-2.51707	-3.14159	-1	6.12323e-17	1671267067.630567633	115.188	331.875	8	869.594	60.6194
30	-0.847056	-2.53912	-3.14159	-1	6.12323e-17	1671267080.230575189	89.725	225.45	3	182.863	45.4584
31	-1.83895	-2.52983	-3.14159	-1	6.12323e-17	1671267092.630566005	142.025	363.55	9	786.513	74.1078
