x	y	z	w	concentration
-1.51567	3.88808	-0.527032	0.849845	31
-1.51567	3.88808	-0.527032	0.849845	31
-1.51567	3.88808	-0.527032	0.849845	31
-1.51567	3.88808	-0.527032	0.849845	31
-1.51567	3.88808	-0.527032	0.849845	31
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	35
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	37
-1.51567	3.88808	-0.527032	0.849845	33
-1.51567	3.88808	-0.527032	0.849845	33
-1.51567	3.88808	-0.527032	0.849845	33
-1.51557	3.88789	-0.52718	0.849753	33
-1.51546	3.88766	-0.533026	0.846099	33
-1.51544	3.88762	-0.53767	0.843156	33
-1.51535	3.88743	-0.542297	0.840187	33
-1.51523	3.88715	-0.552594	0.833451	33
-1.5152	3.88708	-0.565833	0.82452	33
-1.51508	3.88676	-0.580421	0.814317	33
-1.51503	3.88659	-0.599165	0.800625	33
-1.51498	3.88643	-0.61841	0.785855	33
-1.51498	3.88643	-0.637224	0.770679	33
-1.515	3.88655	-0.654413	0.756138	33
-1.51504	3.88681	-0.671334	0.741155	33
-1.51547	3.88678	-0.681901	0.731445	33
-1.51607	3.88684	-0.695053	0.718959	33
-1.51607	3.8868	-0.702605	0.71158	33
-1.51607	3.88676	-0.711737	0.702446	33
-1.51607	3.88663	-0.71875	0.695268	33
-1.51608	3.88659	-0.726592	0.68707	32
-1.51797	3.88616	-0.737289	0.675578	32
-1.51919	3.88558	-0.743225	0.669042	32
-1.51919	3.88554	-0.749208	0.662334	32
-1.51922	3.88532	-0.75616	0.654386	32
-1.51921	3.88537	-0.758724	0.651412	32
-1.51925	3.88516	-0.764436	0.644699	32
-1.52363	3.88583	-0.766914	0.64175	32
-1.52486	3.88637	-0.768374	0.640001	32
-1.52485	3.88641	-0.769824	0.638256	32
-1.52483	3.8865	-0.772324	0.635228	29
-1.52485	3.88641	-0.774592	0.632461	29
-1.52477	3.88679	-0.777619	0.628736	29
-1.52466	3.88729	-0.782913	0.622131	29
-1.52457	3.8877	-0.786645	0.617406	29
-1.52451	3.88791	-0.790829	0.612037	29
-1.52451	3.88791	-0.796668	0.604417	29
-1.52446	3.88811	-0.802693	0.596392	29
-1.52439	3.88832	-0.807559	0.589787	29
-1.52443	3.8882	-0.816169	0.577814	29
-1.52592	3.88578	-0.827785	0.561045	28
-1.52857	3.88298	-0.838827	0.544398	28
-1.52932	3.88135	-0.850549	0.525895	28
-1.52936	3.88128	0.867995	-0.496573	28
-1.5292	3.88153	0.884349	-0.466827	28
-1.52902	3.88177	0.901579	-0.432613	28
-1.52891	3.8819	0.918698	-0.394961	28
-1.52882	3.88199	0.936559	-0.35051	28
-1.52869	3.8821	0.951172	-0.308661	28
-1.5284	3.88228	0.966338	-0.257277	28
-1.53034	3.8813	0.978873	-0.204471	28
-1.53034	3.88149	0.988873	-0.148759	27
-1.53277	3.88086	0.994792	-0.101925	27
-1.53631	3.88032	0.999382	-0.0351617	27
-1.54326	3.88025	0.999722	0.0235592	27
-1.55921	3.88323	0.99544	0.0953899	27
-1.57679	3.88762	0.988391	0.151929	27
-1.59955	3.89588	0.978854	0.20456	27
-1.62472	3.91138	0.963998	0.265911	27
-1.65282	3.92994	0.948649	0.316329	27
-1.68242	3.95466	0.935692	0.352819	27
-1.71227	3.98248	0.921661	0.387995	28
-1.73821	4.00821	0.901379	0.43303	28
-1.76045	4.03697	0.881678	0.471852	28
-1.77917	4.06767	0.859102	0.511804	28
-1.79451	4.09934	0.83677	0.547554	28
-1.80735	4.13022	0.818375	0.574685	28
-1.81791	4.15954	0.798976	0.601363	28
-1.82438	4.1842	0.778105	0.628134	28
-1.82259	4.20543	0.765524	0.643408	28
-1.82508	4.21998	0.763104	0.646276	28
-1.82853	4.24154	0.754545	0.656248	31
-1.83253	4.26601	0.753245	0.65774	31
-1.83591	4.29107	0.75152	0.65971	31
-1.83899	4.31419	0.749825	0.661637	31
-1.84201	4.33544	0.749724	0.661751	31
-1.84423	4.35291	0.751339	0.659917	31
-1.84618	4.36745	0.755984	0.65459	31
-1.84625	4.38159	0.757948	0.652316	31
-1.84715	4.39495	0.759406	0.650617	31
-1.84921	4.4074	0.768584	0.639749	31
-1.85154	4.4195	0.773585	0.633693	35
-1.85395	4.4315	0.773474	0.633828	35
-1.8565	4.44365	0.781868	0.623444	35
-1.8585	4.45198	0.790389	0.612605	35
-1.859	4.45392	0.790496	0.612467	35
-1.859	4.45392	0.79087	0.611984	35
-1.85904	4.45404	0.79103	0.611777	35
-1.85911	4.45433	0.786848	0.617147	35
-1.85907	4.45413	0.779523	0.626374	35
-1.85896	4.45363	0.778428	0.627733	35
-1.85894	4.45354	0.769699	0.638407	33
-1.85899	4.45384	0.754846	0.655902	33
-1.85897	4.45367	0.744508	0.667613	33
-1.85896	4.45358	0.736592	0.676337	33
-1.85893	4.45324	0.726058	0.687634	33
-1.85893	4.4532	0.7107	0.703495	33
-1.85894	4.45311	0.695372	0.71865	33
-1.85894	4.4529	0.681895	0.73145	33
-1.85898	4.45248	0.665841	0.746093	33
-1.85901	4.45231	0.649407	0.760441	33
-1.85897	4.45247	0.625677	0.780082	32
-1.85905	4.45219	0.605042	0.796193	32
-1.85911	4.45198	0.58371	0.811962	32
-1.85924	4.45162	0.559799	0.828628	32
-1.85932	4.45142	0.530761	0.847521	32
-1.85931	4.45146	0.503727	0.863863	32
-1.86469	4.45578	0.475577	0.879674	32
-1.86487	4.45554	0.451297	0.892374	32
