x	y	z	w	concentration
-1.86062	4.4406	0.886718	0.46231	27
-1.86062	4.44059	0.872015	0.489478	27
-1.8606	4.44056	0.856526	0.516104	27
-1.86058	4.44052	0.838991	0.544146	27
-1.86059	4.44056	0.817333	0.576166	27
-1.86056	4.44044	0.792861	0.609402	27
-1.86057	4.44048	0.767095	0.641534	27
-1.86052	4.44005	0.739616	0.673029	27
-1.86049	4.43971	0.7125	0.701672	27
-1.86049	4.43959	0.678912	0.734219	27
-1.8621	4.43646	0.642561	0.766235	28
-1.86319	4.43422	0.603251	0.797551	28
-1.86331	4.43386	0.564724	0.82528	28
-1.86346	4.43351	0.526111	0.850416	28
-1.86795	4.4321	0.485977	0.873971	28
-1.86803	4.432	0.447159	0.894455	28
-1.86824	4.43173	0.40947	0.912324	28
-1.87023	4.42798	0.381704	0.924285	28
-1.87038	4.42784	0.355584	0.934644	28
-1.87068	4.42759	0.322666	0.946513	28
-1.87312	4.42814	0.289852	0.957071	29
-1.87305	4.42818	0.269913	0.962885	29
-1.87526	4.42831	0.248336	0.968674	29
-1.876	4.42826	0.230772	0.973008	29
-1.87615	4.42819	0.211794	0.977314	29
-1.87761	4.42354	0.192467	0.981303	29
-1.87765	4.42352	0.176686	0.984267	29
-1.87805	4.42338	0.162237	0.986752	29
-1.87927	4.42257	0.146428	0.989221	29
-1.87981	4.42242	0.123861	0.9923	29
-1.87977	4.42243	0.0987119	0.995116	29
-1.88017	4.42233	0.0682807	0.997666	29
-1.88571	4.41576	0.0353766	0.999374	29
-1.88622	4.41573	0.00693509	0.999976	29
-1.88622	4.41573	-0.0223845	0.999749	29
-1.88639	4.41575	-0.0461065	0.998937	29
-1.8869	4.41581	-0.0729361	0.997337	29
-1.88719	4.41586	-0.0934592	0.995623	29
-1.88908	4.41545	-0.11395	0.993486	29
-1.89056	4.41525	-0.129412	0.991591	29
-1.89032	4.41518	-0.148856	0.988859	29
-1.8906	4.41528	-0.166952	0.985965	29
-1.88998	4.41475	-0.187185	0.982325	29
-1.8903	4.41488	-0.207972	0.978135	29
-1.89022	4.41485	-0.226711	0.973962	29
-1.89071	4.4151	-0.241812	0.970323	29
-1.89483	4.41105	-0.258685	0.965962	29
-1.89487	4.41108	-0.280617	0.95982	29
-1.8948	4.41103	-0.301572	0.953443	29
-1.89532	4.41141	-0.318331	0.94798	29
-1.89518	4.4113	-0.332112	0.94324	29
-1.89532	4.41041	-0.349508	0.936933	29
-1.89725	4.40393	-0.366314	0.930491	29
-1.89743	4.40411	-0.385721	0.922616	29
-1.89749	4.40417	-0.401444	0.915884	29
-1.89732	4.40398	-0.413716	0.910406	29
-1.89748	4.40418	-0.429463	0.903084	29
-1.89645	4.40107	-0.454772	0.890608	29
-1.8966	4.40128	-0.472633	0.881259	29
-1.89662	4.40131	-0.492505	0.87031	29
-1.89643	4.40098	-0.51848	0.85509	30
-1.89664	4.4014	-0.535095	0.844792	30
-1.89659	4.40128	-0.549392	0.835564	30
-1.90296	4.40466	-0.568538	0.822657	30
-1.9029	4.4045	-0.588679	0.808367	30
-1.90286	4.40438	-0.604159	0.796864	30
-1.90279	4.40413	-0.617013	0.786953	30
-1.9028	4.40413	-0.639282	0.768972	30
-1.90749	4.40292	-0.666979	0.745076	30
-1.90749	4.40292	-0.691064	0.722794	30
-1.90749	4.40297	-0.717936	0.696109	30
-1.9075	4.40288	-0.748543	0.663086	30
-1.90751	4.40284	-0.779112	0.626884	30
-1.90624	4.4034	-0.810078	0.586323	30
-1.90665	4.40202	-0.839892	0.542754	30
-1.90795	4.39943	0.869527	-0.493886	30
-1.90995	4.3964	0.895546	-0.444968	30
-1.91357	4.39287	0.923766	-0.382959	30
-1.91852	4.38911	0.947504	-0.319743	30
-1.92187	4.38683	0.968464	-0.249153	30
-1.92654	4.38495	0.983675	-0.179953	32
-1.93192	4.38351	0.994159	-0.107922	32
-1.93604	4.38267	0.999299	-0.0374487	32
-1.94077	4.3815	0.999343	0.0362308	32
-1.94182	4.38162	0.993014	0.117994	32
-1.93935	4.3855	0.980045	0.198776	32
-1.93927	4.38623	0.961483	0.274863	32
-1.93913	4.38695	0.937056	0.34918	32
-1.94099	4.38825	0.903959	0.42762	32
-1.94418	4.38603	0.863666	0.504065	32
-1.95233	4.39293	0.827549	0.561393	32
-1.95801	4.40516	0.78217	0.623065	32
-1.96328	4.41583	0.734703	0.678389	32
-1.96725	4.43126	0.670334	0.74206	32
-1.96575	4.44707	0.609514	0.792776	32
-1.96287	4.46279	0.54117	0.840913	32
-1.96474	4.47175	0.480464	0.877014	32
-1.96042	4.48249	0.414589	0.910009	32
-1.95952	4.48983	0.364453	0.931222	32
-1.94902	4.49618	0.272772	0.962079	32
-1.94457	4.49709	0.212882	0.977078	33
-1.941	4.49685	0.158467	0.987364	33
-1.93444	4.49906	0.0987787	0.995109	33
-1.92675	4.50217	0.0487316	0.998812	33
-1.92226	4.50361	0.00665905	0.999978	33
-1.91785	4.50548	-0.0292144	0.999573	33
-1.91482	4.50542	-0.0630211	0.998012	33
-1.91076	4.50502	-0.0962465	0.995358	33
-1.9102	4.5022	-0.131087	0.991371	33
-1.90791	4.50105	-0.156431	0.987689	33
-1.90506	4.49763	-0.173242	0.984879	37
