counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration
0	-1.90289	4.49035	0	0	1	1671264581.984492570	37.325	94.15	4	96.6625	18.9648
1	-0.900884	4.46873	-0.0359752	-0.0179867	0.999838	1671264594.784474122	34.6625	88.325	2	55.3312	17.3962
2	0.0845884	4.47751	0	0	1	1671264607.884574874	31.15	78.3	2	47.575	15.7132
3	1.09094	4.47413	0	0	1	1671264622.284459290	28.7625	72.525	2	44.3812	14.5079
4	1.13276	3.50652	-1.5708	-0.707107	0.707107	1671264639.084451752	29.55	75.1	5	94.775	15.0378
5	0.131209	3.46722	-3.14159	-1	6.12323e-17	1671264656.284445431	27.9	70.3	1	28.45	14.0098
6	-0.843279	3.46547	-3.14159	-1	6.12323e-17	1671264669.584457883	27.675	69.85	1	28.3375	13.898
7	-1.84781	3.46657	-3.14159	-1	6.12323e-17	1671264682.584480506	45.5	115	6	166.75	23.3424
8	-1.87901	2.47346	-1.5708	-0.707107	0.707107	1671264699.184446054	44.825	112.65	1	45.4125	22.5118
9	-0.900021	2.4641	0	0	1	1671264715.784459692	50.8	128.1	3	104.9	25.7497
10	0.0896982	2.45344	0	0	1	1671264729.184478979	29.7125	74.925	1	30.3563	14.921
11	1.09116	2.46577	0	0	1	1671264742.384717053	29.7375	74.975	4	76.8688	15.0958
12	1.12235	1.47479	-1.5708	-0.707107	0.707107	1671264764.284440426	31.425	79.35	2	48.7125	15.8304
13	0.158841	1.47074	-3.14159	-1	6.12323e-17	1671264786.484447871	32.4625	81.425	3	65.7312	16.4151
14	-0.857283	1.47766	-3.14159	-1	6.12323e-17	1671264799.484429251	49.85	126.7	4	132.925	25.264
15	-1.85251	1.47685	-3.14159	-1	6.12323e-17	1671264812.084457602	50.8	129.6	3	109.4	25.7513
16	-1.91287	0.488039	-1.5708	-0.707107	0.707107	1671264828.884452473	50.025	126.55	1	51.5125	25.1315
17	-0.887134	0.451943	0	0	1	1671264845.084485890	65.6625	168.825	6	257.831	33.7908
18	0.100373	0.456374	0	0	1	1671264858.984455095	42.775	109.05	3	91.8875	21.6389
19	1.10415	0.464278	0	0	1	1671264873.184494520	45.475	114.45	4	116.738	23.1434
20	1.12059	-0.523177	-1.5708	-0.707107	0.707107	1671264894.984446047	50.9625	130.425	5	167.981	26.0603
21	0.116052	-0.524246	-3.14159	-1	6.12323e-17	1671264910.784449917	81.025	206.05	4	216.512	41.1207
22	-0.841503	-0.52941	-3.14159	-1	6.12323e-17	1671264922.984458894	70.8	179.6	4	187.4	36.0564
23	-1.85167	-0.530578	-3.14159	-1	6.12323e-17	1671264935.284459654	77.3875	194.775	5	238.694	39.1538
24	-1.91538	-1.52709	-1.5708	-0.707107	0.707107	1671264953.684450000	198.212	502.425	5	629.106	100.617
25	-0.881387	-1.53906	0	0	1	1671264970.684461075	280.538	715.575	4	758.269	142.589
26	0.107472	-1.54079	0	0	1	1671264984.284471256	110.425	281.85	7	482.212	56.454
27	1.07669	-1.52942	0	0	1	1671264996.484539184	137.712	353.925	7	618.356	70.5685
28	1.12276	-2.53413	-1.5708	-0.707107	0.707107	1671265018.384463124	122.85	310.7	6	451.425	62.7975
29	0.154798	-2.52946	-3.14159	-1	6.12323e-17	1671265040.984472593	96.775	247.05	6	369.388	49.8857
30	-0.85698	-2.51708	-3.14159	-1	6.12323e-17	1671265053.584469508	173.113	434.725	4	440.556	87.5921
31	-1.8714	-2.53095	-3.14159	-1	6.12323e-17	1671265066.384496845	158.8	406.6	6	613.4	81.0836
