x	y	z	w	concentration
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53335	3.90549	-0.495317	0.868712	35
-1.53325	3.9053	-0.495317	0.868712	35
-1.53318	3.90519	-0.499859	0.866107	35
-1.53316	3.90516	-0.507473	0.861668	35
-1.53314	3.90512	-0.513925	0.857835	35
-1.53308	3.905	-0.523698	0.851904	36
-1.53295	3.90474	-0.540176	0.841552	36
-1.53281	3.90442	-0.553474	0.832867	36
-1.53276	3.90431	-0.573514	0.819196	36
-1.53268	3.90406	-0.587935	0.808908	36
-1.53266	3.90402	-0.601127	0.799154	36
-1.53259	3.90374	-0.614294	0.789077	36
-1.53252	3.90345	-0.627768	0.778401	36
-1.53257	3.9037	-0.636423	0.77134	36
-1.53255	3.90357	-0.644933	0.764239	36
-1.53257	3.90374	-0.655606	0.755103	35
-1.53265	3.90433	-0.665695	0.746224	35
-1.53463	3.90393	-0.677053	0.735934	35
-1.53465	3.90427	-0.685422	0.728146	35
-1.53465	3.90422	-0.699711	0.714426	35
-1.53465	3.90397	-0.71403	0.700115	35
-1.53464	3.90435	-0.725059	0.688686	35
-1.5346	3.90473	-0.745811	0.666158	35
-1.54628	3.90953	-0.761297	0.648404	35
-1.54626	3.90962	-0.774046	0.633129	35
-1.54621	3.90982	-0.78541	0.618976	37
-1.54621	3.90982	-0.799618	0.600509	37
-1.54616	3.90999	-0.809516	0.587098	37
-1.54612	3.91011	-0.823123	0.567863	37
-1.54617	3.90999	-0.836703	0.547656	37
-1.55183	3.91049	-0.85056	0.525877	37
-1.55473	3.91062	-0.864799	0.502119	37
-1.55466	3.91073	0.881054	-0.473016	37
-1.55471	3.91066	0.894776	-0.446515	37
-1.55453	3.9109	0.910357	-0.413824	37
-1.55576	3.91032	0.926415	-0.376503	38
-1.55999	3.90827	0.942007	-0.335594	38
-1.55985	3.90837	0.955285	-0.295686	38
-1.55963	3.9085	0.968263	-0.249935	38
-1.55945	3.90861	0.979351	-0.202167	38
-1.56147	3.907	0.989053	-0.14756	38
-1.56207	3.90655	0.995035	-0.09953	38
