counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration
0	-1.87249	4.45234	0	0	1	1671265472.387157938	37.8	96.6	6	144.9	19.3873
1	-0.905322	4.45535	0.0791298	0.0395546	0.999217	1671265486.587171147	36.975	93.95	3	78.4875	18.7531
2	0.0800067	4.46489	0	0	1	1671265498.987134268	32.8125	82.625	2	50.4062	16.5586
3	1.08922	4.46819	0	0	1	1671265511.787180969	36.15	91.8	3	76.575	18.2957
4	1.11361	3.51031	-1.5708	-0.707107	0.707107	1671265533.587208276	37.0125	93.025	3	75.5062	18.7046
5	0.124191	3.46863	-3.14159	-1	6.12323e-17	1671265548.587157634	37.7625	95.025	2	57.8812	19.0613
6	-0.855873	3.47432	-3.14159	-1	6.12323e-17	1671265561.687193092	38.2125	97.925	6	148.106	19.54
7	-1.86735	3.46632	-3.14159	-1	6.12323e-17	1671265575.287151543	35.1875	88.875	3	73.0938	17.8003
8	-1.8776	2.47927	-1.5708	-0.707107	0.707107	1671265592.687192614	44.8625	113.225	5	139.931	22.9278
9	-0.914316	2.45716	0	0	1	1671265612.087195671	48.925	122.85	4	124.463	24.8089
10	0.0869282	2.46809	0	0	1	1671265624.787152437	38.05	96.1	4	99.025	19.2825
11	1.08925	2.46425	0	0	1	1671265639.187170010	44.45	111.9	3	91.225	22.4595
12	1.11441	1.49538	-1.5708	-0.707107	0.707107	1671265654.387162189	43.2875	108.575	5	131.644	22.058
13	0.124716	1.47655	-3.14159	-1	6.12323e-17	1671265670.187203086	43.2875	109.075	2	66.6438	21.841
14	-0.852927	1.46736	-3.14159	-1	6.12323e-17	1671265684.987163419	49.8125	125.625	3	102.906	25.2236
15	-1.8475	1.47311	-3.14159	-1	6.12323e-17	1671265698.287232292	54.975	138.95	5	172.488	27.9995
16	-1.89089	0.493538	-1.5708	-0.707107	0.707107	1671265715.787152513	55.95	141.4	4	145.975	28.4276
17	-0.893132	0.467507	0	0	1	1671265731.787199140	52.7125	133.425	6	194.356	26.9366
18	0.0976151	0.442599	0	0	1	1671265747.587181622	46.125	116.25	4	119.062	23.3833
19	1.08212	0.452254	0	0	1	1671265760.187148107	45.675	114.85	2	69.8375	23.037
20	1.10923	-0.523608	-1.5708	-0.707107	0.707107	1671265776.587699459	50.4	126.8	2	77.2	25.4337
21	0.118329	-0.527936	-3.14159	-1	6.12323e-17	1671265793.087457455	85.275	218.05	4	232.637	43.2939
22	-0.849733	-0.535801	-3.14159	-1	6.12323e-17	1671265808.087152341	108.938	275.375	4	284.469	55.4619
23	-1.85333	-0.52351	-3.14159	-1	6.12323e-17	1671265821.187151993	203.637	516.775	6	758.819	103.918
24	-1.91783	-1.53712	-1.5708	-0.707107	0.707107	1671265839.387143119	248.225	645.95	8	1320.11	127.618
25	-0.899592	-1.57281	0	0	1	1671265857.387185915	156.462	399.925	3	339.231	79.1556
26	0.114584	-1.55602	0	0	1	1671265872.887225132	128.65	325.8	7	543.825	65.8098
27	1.09544	-1.53999	0	0	1	1671265885.487164334	173.363	444.225	8	866.681	88.9539
28	1.12005	-2.49279	-1.5708	-0.707107	0.707107	1671265900.887156575	113.137	291.275	6	446.569	57.988
29	0.157945	-2.52432	-3.14159	-1	6.12323e-17	1671265915.687158381	154.4	394.8	6	593.2	78.5739
30	-0.860323	-2.52345	-3.14159	-1	6.12323e-17	1671265928.487194157	179.075	452.15	5	559.537	90.9847
31	-1.84938	-2.54047	-3.14159	-1	6.12323e-17	1671265944.187195663	190.2	484.9	6	722.1	97.3188
